date,total_pilgrims,band,band_name
2024-06-16,69870,2,MODERATE
2024-06-17,75872,3,BUSY
2024-06-18,75125,3,BUSY
2024-06-19,79584,3,BUSY
2024-06-20,62756,2,MODERATE
2024-06-21,72294,3,BUSY
2024-06-22,74467,3,BUSY
2024-06-23,81455,4,HEAVY
2024-06-24,77878,3,BUSY
2024-06-25,71824,3,BUSY
2024-06-26,77332,3,BUSY
2024-06-27,60782,2,MODERATE
2024-06-28,66256,2,MODERATE
2024-06-29,80404,4,HEAVY
2024-06-30,81005,4,HEAVY
2024-07-01,75449,3,BUSY
2024-07-02,67398,2,MODERATE
2024-07-03,69632,2,MODERATE
2024-07-04,63826,2,MODERATE
2024-07-05,65775,2,MODERATE
2024-07-06,77995,3,BUSY
2024-07-07,78912,3,BUSY
2024-07-08,63619,2,MODERATE
2024-07-09,67245,2,MODERATE
2024-07-10,73353,3,BUSY
2024-07-11,65392,2,MODERATE
2024-07-12,63493,2,MODERATE
2024-07-13,75916,3,BUSY
2024-07-14,84797,4,HEAVY
2024-07-15,75054,3,BUSY
2024-07-16,71409,3,BUSY
2024-07-17,69029,2,MODERATE
2024-07-18,67223,2,MODERATE
2024-07-19,65134,2,MODERATE
2024-07-20,83538,4,HEAVY
2024-07-21,75963,3,BUSY
2024-07-22,71939,3,BUSY
2024-07-23,73332,3,BUSY
2024-07-24,73023,3,BUSY
2024-07-25,61699,2,MODERATE
2024-07-26,65980,2,MODERATE
2024-07-27,84173,4,HEAVY
2024-07-28,79327,3,BUSY
2024-07-29,65874,2,MODERATE
2024-07-30,69937,2,MODERATE
2024-07-31,67916,2,MODERATE
2024-08-01,61465,2,MODERATE
2024-08-02,62540,2,MODERATE
2024-08-03,75140,3,BUSY
2024-08-04,75356,3,BUSY
2024-08-05,63095,2,MODERATE
2024-08-06,66235,2,MODERATE
2024-08-07,75109,3,BUSY
2024-08-08,63535,2,MODERATE
2024-08-09,65131,2,MODERATE
2024-08-10,73313,3,BUSY
2024-08-11,86604,4,HEAVY
2024-08-12,70728,3,BUSY
2024-08-13,73246,3,BUSY
2024-08-14,72967,3,BUSY
2024-08-15,76695,3,BUSY
2024-08-16,62625,2,MODERATE
2024-08-17,77807,3,BUSY
2024-08-18,77807,3,BUSY
2024-08-19,71595,3,BUSY
2024-08-20,73082,3,BUSY
2024-08-22,63202,2,MODERATE
2024-08-23,69098,2,MODERATE
2024-08-24,79521,3,BUSY
2024-08-25,84060,4,HEAVY
2024-08-26,76910,3,BUSY
2024-08-27,71153,3,BUSY
2024-08-28,76772,3,BUSY
2024-08-29,62529,2,MODERATE
2024-08-30,65080,2,MODERATE
2024-08-31,81207,4,HEAVY
2024-09-01,74498,3,BUSY
2024-09-02,63936,2,MODERATE
2024-09-03,57817,1,LIGHT
2024-09-04,57390,1,LIGHT
2024-09-05,61142,2,MODERATE
2024-09-06,58100,1,LIGHT
2024-09-07,83960,4,HEAVY
2024-09-08,81178,4,HEAVY
2024-09-09,67030,2,MODERATE
2024-09-10,62380,2,MODERATE
2024-09-11,67668,2,MODERATE
2024-09-12,63544,2,MODERATE
2024-09-13,60694,2,MODERATE
2024-09-14,80735,4,HEAVY
2024-09-15,85626,4,HEAVY
2024-09-16,76200,3,BUSY
2024-09-17,72072,3,BUSY
2024-09-18,78690,3,BUSY
2024-09-19,68835,2,MODERATE
2024-09-20,73104,3,BUSY
2024-09-21,82406,4,HEAVY
2024-09-22,82646,4,HEAVY
2024-09-23,65604,2,MODERATE
2024-09-24,67616,2,MODERATE
2024-09-25,77939,3,BUSY
2024-09-26,61328,2,MODERATE
2024-09-27,64158,2,MODERATE
2024-09-28,71133,3,BUSY
2024-09-29,84066,4,HEAVY
