date,total_pilgrims
2016-06-08,77906
2016-06-09,75771
2016-06-10,82625
2016-06-11,96799
2016-06-12,100625
2016-06-13,91197
2016-06-14,79388
2016-06-15,79388
2016-06-16,74356
2016-06-17,80547
2016-06-18,94392
2016-06-19,94382
2016-06-20,85200
2016-06-21,77047
2016-06-22,78680
2016-06-23,70116
2016-06-24,73128
2016-06-25,91846
2016-06-26,86622
2016-06-27,85079
2016-06-28,75850
2016-06-29,75850
2016-06-30,75850
2016-07-01,67656
2016-07-02,82530
2016-07-03,84049
2016-07-04,72061
2016-07-05,64573
2016-07-06,66155
2016-07-07,74555
2016-07-08,87641
2016-07-09,87641
2016-07-10,95714
2016-07-11,73952
2016-07-12,71495
2016-07-13,68345
2016-07-14,69197
2016-07-15,67087
2016-07-16,81555
2016-07-17,92627
2016-07-18,89020
2016-07-19,76072
2016-07-20,73357
2016-07-21,73872
2016-07-22,72603
2016-07-23,85717
2016-07-24,88457
2016-07-25,74953
2016-07-26,71333
2016-07-27,68458
2016-07-28,66135
2016-07-29,66377
2016-07-30,82518
2016-07-31,84364
2016-08-01,67247
2016-08-02,66425
2016-08-03,57804
2016-08-04,68407
2016-08-05,70724
2016-08-06,85807
2016-08-07,83377
2016-08-08,72065
2016-08-09,68734
2016-08-10,68345
2016-08-11,66213
2016-08-12,70125
2016-08-13,82037
2016-08-14,104023
2016-08-15,97034
2016-08-16,80127
2016-08-17,70504
2016-08-18,67787
2016-08-19,67787
2016-08-20,80518
2016-08-21,89669
2016-08-22,83094
2016-08-23,76021
2016-08-24,72661
2016-08-25,67261
2016-08-26,75738
2016-08-27,84283
2016-08-28,87037
2016-08-29,80781
2016-08-30,66506
2016-08-31,56826
2016-09-01,56005
2016-09-02,56197
2016-09-03,76137
2016-09-04,85392
2016-09-09,67938
2016-09-10,85435
2016-09-11,91200
2016-09-12,86567
2016-09-13,78546
2016-09-14,68574
2016-09-15,69697
2016-09-16,67605
2016-09-17,89260
2016-09-18,93657
2016-09-19,73171
2016-09-20,66453
2016-09-21,58757
2016-09-22,64464
2016-09-23,67778
2016-09-24,84787
2016-09-25,90007
2016-09-26,77856
2016-09-27,80657
2016-09-28,77369
2016-09-29,83996
2016-09-30,75487
2016-10-01,83546
2016-10-02,77120
2016-10-03,52467
2016-10-05,86406
2016-10-06,86523
2016-10-07,82721
2016-10-08,93119
2016-10-09,95067
2016-10-10,110662
2016-10-11,101859
2016-10-12,85307
2016-10-13,75700
2016-10-14,76914
2016-10-15,91057
2016-10-16,101018
2016-10-17,93800
2016-10-18,78692
2016-10-19,58047
2016-10-20,66177
2016-10-21,65457
2016-10-22,77325
2016-10-23,86114
2016-10-24,65487
2016-10-25,62419
2016-10-26,56395
2016-10-27,54697
2016-10-28,61063
2016-10-29,77713
2016-10-30,80527
2016-10-31,85191
2016-11-01,81981
2016-11-02,69317
